Number,TagID_Hex,spp,Rel_group,TankID,TagDate,MortDate,ExptMort,Mort_mass_g,Mort_FL_mm,Sex
249,F246,DeltaSmelt,FC,AES-1,12/22/23,1/24/24,Euth,,,U
250,F247,DeltaSmelt,FC,AES-1,12/22/23,1/24/24,Euth,,,U
251,F248,DeltaSmelt,FC,AES-1,12/22/23,1/24/24,Euth,,,U
252,F249,DeltaSmelt,FC,AES-1,12/22/23,1/24/24,Euth,,,U
253,F250,DeltaSmelt,FC,AES-1,12/22/23,1/24/24,Euth,,,U
254,F251,DeltaSmelt,FC,AES-1,12/22/23,1/24/24,Euth,,,U
255,F252,DeltaSmelt,FC,AES-1,12/22/23,1/24/24,Euth,,,U
256,F253,DeltaSmelt,FC,AES-1,12/22/23,1/24/24,Euth,,,U
257,F254,DeltaSmelt,FC,AES-1,12/22/23,1/24/24,Euth,,,U
258,F255,DeltaSmelt,FC,AES-1,12/22/23,1/24/24,Euth,,,U
259,F256,DeltaSmelt,FC,AES-1,12/22/23,1/24/24,Euth,,,U
260,F257,DeltaSmelt,FC,AES-1,12/22/23,1/24/24,Euth,,,U
261,F258,DeltaSmelt,FC,AES-1,12/22/23,1/24/24,Euth,,,U
262,F259,DeltaSmelt,FC,AES-1,12/22/23,1/24/24,Euth,,,U
263,F260,DeltaSmelt,FC,AES-1,12/22/23,1/24/24,Euth,,,U
264,F261,DeltaSmelt,FC,AES-1,12/22/23,1/24/24,Euth,,,U
265,F262,DeltaSmelt,FC,AES-1,12/22/23,1/24/24,Euth,,,U
266,F263,DeltaSmelt,FC,AES-1,12/22/23,1/24/24,Euth,,,U
