Fish#,Species,HatchDate,Source,ArrivalDate,f_status,Mort_date,TankID,Treat_group,Tag_date,Days_to_mort,ReasonMort,TagID_hex,ShedTag?,Mass_mort,FL_mort,Sex,ReproStatusNotes,IncNotes,TagPlaceNotes,GenAppNotes,OtherNotes,Photos?,PhotoFolder
85,DeltaSmelt,Jan-23,FCCL,11/28/23,f16,12/27/23,8,LT,12/21/23,6,natural,1060,no,4.54,81,male,,,,,,no,NA
86,DeltaSmelt,Jan-23,FCCL,11/28/23,f16,12/27/23,1,FC,12/22/23,5,natural,NA,NA,3.69,74,female,,,,,,no,NA
87,DeltaSmelt,Jan-23,FCCL,11/28/23,f16,12/27/23,7,FC,12/21/23,6,natural,NA,NA,3.39,70,female,,,,,,no,NA
88,DeltaSmelt,Jan-23,FCCL,11/28/23,f16,12/27/23,3,VT,12/22/23,5,natural,SHED,yes,3.53,70,female,,,,,,no,NA
89,DeltaSmelt,Jan-23,FCCL,11/28/23,f16,12/28/23,2,LT,12/22/23,6,natural,0158,no,3.11,75,male,,,,,,no,NA
90,DeltaSmelt,Jan-23,FCCL,11/28/23,f16,12/28/23,9,VT,12/21/23,7,natural,015C,no,2.46,70,male,,,,,,no,NA
91,DeltaSmelt,Jan-23,FCCL,11/28/23,f16,12/28/23,2,LT,12/22/23,6,natural,0203,no,2.08,66,male,,,,,,no,NA
92,DeltaSmelt,Jan-23,FCCL,11/28/23,f16,12/28/23,3,VT,12/22/23,6,natural,036F,no,3.7,72,male,,,,,,no,NA
93,DeltaSmelt,Jan-23,FCCL,11/28/23,f16,12/28/23,8,LT,12/21/23,7,natural,051E,no,3.69,76,male,,,,,,no,NA
94,DeltaSmelt,Jan-23,FCCL,11/28/23,f16,12/28/23,8,LT,12/21/23,7,natural,0677,no,2.78,75,male,,,,,,no,NA
95,DeltaSmelt,Jan-23,FCCL,11/28/23,f16,12/28/23,3,VT,12/22/23,6,natural,06FB,no,2.89,73,male,,,,,,no,NA
96,DeltaSmelt,Jan-23,FCCL,11/28/23,f16,12/28/23,2,LT,12/22/23,6,natural,0794,no,2.55,68,male,,,,,,no,NA
97,DeltaSmelt,Jan-23,FCCL,11/28/23,f16,12/28/23,7,FC,12/21/23,7,natural,NA,NA,3.55,75,female,,,,,,no,NA
98,DeltaSmelt,Jan-23,FCCL,11/28/23,f16,12/28/23,7,FC,12/21/23,7,natural,NA,NA,2.3,67,male,,,,,,no,NA
99,DeltaSmelt,Jan-23,FCCL,11/28/23,f16,12/29/23,9,VT,12/21/23,8,natural,001C,no,2.55,71,male,,,,,,no,NA
100,DeltaSmelt,Jan-23,FCCL,11/28/23,f16,12/29/23,9,VT,12/21/23,8,natural,00C2,no,4.14,71,male,,,,,,no,NA
101,DeltaSmelt,Jan-23,FCCL,11/28/23,f16,12/29/23,3,VT,12/22/23,7,natural,0116,no,1.63,65,male,,,,,,no,NA
102,DeltaSmelt,Jan-23,FCCL,11/28/23,f16,12/29/23,2,LT,12/22/23,7,natural,0280,no,1.68,65,male,,,,,,no,NA
103,DeltaSmelt,Jan-23,FCCL,11/28/23,f16,12/29/23,8,LT,12/21/23,8,natural,0304,no,2.98,67,male,,,,,,no,NA
104,DeltaSmelt,Jan-23,FCCL,11/28/23,f16,12/29/23,3,VT,12/22/23,7,natural,0395,no,2.56,69,male,,,,,,no,NA
105,DeltaSmelt,Jan-23,FCCL,11/28/23,f16,12/29/23,3,VT,12/22/23,7,natural,0742,no,2.74,72,male,,,,,,no,NA
106,DeltaSmelt,Jan-23,FCCL,11/28/23,f16,12/29/23,7,FC,12/21/23,8,natural,NA,NA,1.97,68,female,,,,,,no,NA
107,DeltaSmelt,Jan-23,FCCL,11/28/23,f16,12/29/23,7,FC,12/21/23,8,natural,NA,NA,2.08,67,female,,,,,,no,NA
108,DeltaSmelt,Jan-23,FCCL,11/28/23,f16,12/30/23,3,VT,12/22/23,8,natural,00C0,no,3.4,71,male,,,,,,no,NA
109,DeltaSmelt,Jan-23,FCCL,11/28/23,f16,12/30/23,3,VT,12/22/23,8,natural,01A1,no,2.84,73,male,,,,,,no,NA
110,DeltaSmelt,Jan-23,FCCL,11/28/23,f16,12/30/23,8,LT,12/21/23,9,natural,0295,no,1.94,65,male,,,,,,no,NA
111,DeltaSmelt,Jan-23,FCCL,11/28/23,f16,12/30/23,9,VT,12/21/23,9,natural,0355,no,2.22,67,male,,,,,,no,NA
112,DeltaSmelt,Jan-23,FCCL,11/28/23,f16,12/30/23,3,VT,12/22/23,8,natural,0370,no,2.17,68,male,,,,,,no,NA
113,DeltaSmelt,Jan-23,FCCL,11/28/23,f16,12/30/23,3,VT,12/22/23,8,natural,0392,no,2.22,69,male,,,,,,no,NA
114,DeltaSmelt,Jan-23,FCCL,11/28/23,f16,12/30/23,3,VT,12/22/23,8,natural,03E2,no,1.69,65,male,,,,,,no,NA
115,DeltaSmelt,Jan-23,FCCL,11/28/23,f16,12/30/23,2,LT,12/22/23,8,natural,046F,no,3.53,75,female,,,,,,no,NA
116,DeltaSmelt,Jan-23,FCCL,11/28/23,f16,12/30/23,2,LT,12/22/23,8,natural,06F5,no,2.1,66,male,,,,,,no,NA
117,DeltaSmelt,Jan-23,FCCL,11/28/23,f16,12/30/23,1,FC,12/22/23,8,natural,NA,NA,2.19,67,male,,,,,,no,NA
118,DeltaSmelt,Jan-23,FCCL,11/28/23,f16,12/30/23,7,FC,12/21/23,9,natural,NA,NA,4.6,80,male,,,,,,no,NA
119,DeltaSmelt,Jan-23,FCCL,11/28/23,f16,12/30/23,9,VT,12/21/23,9,natural,SHED,yes,2.94,72,male,,,,,,no,NA
120,DeltaSmelt,Jan-23,FCCL,11/28/23,f16,12/31/23,9,VT,12/21/23,10,natural,0127,no,3.72,75,female,,,,,,no,NA
121,DeltaSmelt,Jan-23,FCCL,11/28/23,f16,12/31/23,3,VT,12/22/23,9,natural,0799,no,3.99,74,female,,,,,,no,NA
122,DeltaSmelt,Jan-23,FCCL,11/28/23,f16,12/31/23,7,FC,12/21/23,10,natural,NA,NA,2.25,68,male,,,,,,no,NA
123,DeltaSmelt,Jan-23,FCCL,11/28/23,f16,12/31/23,3,VT,12/22/23,9,natural,SHED,yes,3.48,73,female,,,,,,no,NA
124,DeltaSmelt,Jan-23,FCCL,11/28/23,f16,1/1/24,3,VT,12/22/23,10,natural,0246,no,2.75,72,male,,,,,,no,NA
125,DeltaSmelt,Jan-23,FCCL,11/28/23,f16,1/1/24,1,FC,12/22/23,10,natural,NA,NA,4.31,79,female,,,,,,no,NA
126,DeltaSmelt,Jan-23,FCCL,11/28/23,f16,1/1/24,7,FC,12/21/23,11,natural,NA,NA,2.92,72,male,,,,,,no,NA
127,DeltaSmelt,Jan-23,FCCL,11/28/23,f16,1/1/24,7,FC,12/21/23,11,natural,NA,NA,3.24,75,male,,,,,,no,NA
128,DeltaSmelt,Jan-23,FCCL,11/28/23,f16,1/1/24,7,FC,12/21/23,11,natural,NA,NA,2.58,69,female,,,,,,no,NA
129,DeltaSmelt,Jan-23,FCCL,11/28/23,f16,1/2/24,9,VT,12/21/23,12,natural,003E,no,2.96,76,male,,,,,,no,NA
130,DeltaSmelt,Jan-23,FCCL,11/28/23,f16,1/2/24,9,VT,12/21/23,12,natural,0183,no,4,78,female,,,,,,no,NA
131,DeltaSmelt,Jan-23,FCCL,11/28/23,f16,1/2/24,3,VT,12/22/23,11,natural,0491,no,1.95,66,male,,,,,,no,NA
132,DeltaSmelt,Jan-23,FCCL,11/28/23,f16,1/2/24,2,LT,12/22/23,11,natural,06F2,no,2.49,72,female,,,,,,no,NA
133,DeltaSmelt,Jan-23,FCCL,11/28/23,f16,1/2/24,1,FC,12/22/23,11,natural,NA,NA,2.79,72,male,,,,,,no,NA
134,DeltaSmelt,Jan-23,FCCL,11/28/23,f16,1/2/24,9,VT,12/21/23,12,natural,SHED,yes,4.09,76,female,,,,,,no,NA
135,DeltaSmelt,Jan-23,FCCL,11/28/23,f16,1/3/24,2,LT,12/22/23,12,natural,01A6,no,4.37,80,male,,,,,,no,NA
136,DeltaSmelt,Jan-23,FCCL,11/28/23,f16,1/3/24,3,VT,12/22/23,12,natural,0229,no,2.93,71,female,,,,,,no,NA
137,DeltaSmelt,Jan-23,FCCL,11/28/23,f16,1/3/24,2,LT,12/22/23,12,natural,0394,no,2.57,70,male,,,,,,no,NA
138,DeltaSmelt,Jan-23,FCCL,11/28/23,f16,1/3/24,3,VT,12/22/23,12,natural,03BC,no,2.1,67,male,,,,,,no,NA
139,DeltaSmelt,Jan-23,FCCL,11/28/23,f16,1/3/24,9,VT,12/21/23,13,natural,060E,no,3.64,74,female,,,,,,no,NA
140,DeltaSmelt,Jan-23,FCCL,11/28/23,f16,1/3/24,2,LT,12/22/23,12,natural,0796,no,2.83,71,male,,,,,,no,NA
141,DeltaSmelt,Jan-23,FCCL,11/28/23,f16,1/3/24,1,FC,12/22/23,12,natural,NA,NA,3.76,79,female,,,,,,no,NA
142,DeltaSmelt,Jan-23,FCCL,11/28/23,f16,1/3/24,2,LT,12/22/23,12,natural,SHED,yes,1.91,73,male,,,,,,no,NA
143,DeltaSmelt,Jan-23,FCCL,11/28/23,f16,1/3/24,3,VT,12/22/23,12,natural,SHED,yes,3.53,77,female,,,,,,no,NA
144,DeltaSmelt,Jan-23,FCCL,11/28/23,f16,1/3/24,3,VT,12/22/23,12,natural,SHED,yes,2.53,72,male,,,,,,no,NA
145,DeltaSmelt,Jan-23,FCCL,11/28/23,f16,1/4/24,2,LT,12/22/23,13,natural,0570,no,3.45,74,female,,,,,,no,NA
146,DeltaSmelt,Jan-23,FCCL,11/28/23,f16,1/4/24,7,FC,12/21/23,14,natural,NA,NA,3.41,76,male,,,,,,no,NA
147,DeltaSmelt,Jan-23,FCCL,11/28/23,f16,1/4/24,7,FC,12/21/23,14,natural,NA,NA,4.44,79,male,,,,,,no,NA
148,DeltaSmelt,Jan-23,FCCL,11/28/23,f16,1/5/24,2,LT,12/22/23,14,natural,04D2,no,2.9,75,male,,,,,,no,NA
149,DeltaSmelt,Jan-23,FCCL,11/28/23,f16,1/6/24,8,LT,12/21/23,16,natural,0191,no,3.86,85,male,,,,,,no,NA
150,DeltaSmelt,Jan-23,FCCL,11/28/23,f16,1/6/24,9,VT,12/21/23,16,natural,0772,no,3.38,76,male,,,,,,no,NA
151,DeltaSmelt,Jan-23,FCCL,11/28/23,f16,1/6/24,1,FC,12/22/23,15,natural,NA,NA,1.82,66,male,,,,,,no,NA
152,DeltaSmelt,Jan-23,FCCL,11/28/23,f16,1/6/24,1,FC,12/22/23,15,natural,NA,NA,2.4,74,male,,,,,,no,NA
153,DeltaSmelt,Jan-23,FCCL,11/28/23,f16,1/6/24,1,FC,12/22/23,15,natural,NA,NA,3.36,78,female,,,,,,no,NA
154,DeltaSmelt,Jan-23,FCCL,11/28/23,f16,1/7/24,2,LT,12/22/23,16,natural,0623,no,2.03,72,male,,,,,,no,NA
155,DeltaSmelt,Jan-23,FCCL,11/28/23,f16,1/7/24,1,FC,12/22/23,16,natural,NA,NA,3.65,79,female,,,,,,no,NA
156,DeltaSmelt,Jan-23,FCCL,11/28/23,f16,1/8/24,7,FC,12/21/23,18,natural,NA,NA,2.8,76,female,,,,,,no,NA
157,DeltaSmelt,Jan-23,FCCL,11/28/23,f16,1/8/24,9,VT,12/21/23,18,natural,SHED,yes,2.8,79,female,,,,,,no,NA
158,DeltaSmelt,Jan-23,FCCL,11/28/23,f16,1/9/24,9,VT,12/21/23,19,natural,0159,no,3.26,82,male,,,,,,no,NA
159,DeltaSmelt,Jan-23,FCCL,11/28/23,f16,1/9/24,1,FC,12/22/23,18,natural,NA,NA,1.55,66,male,,,,,,no,NA
160,DeltaSmelt,Jan-23,FCCL,11/28/23,f16,1/9/24,1,FC,12/22/23,18,natural,NA,NA,2.43,75,male,,,,,,no,NA
161,DeltaSmelt,Jan-23,FCCL,11/28/23,f16,1/9/24,7,FC,12/21/23,19,natural,NA,NA,5.37,91,female,,,,,,no,NA
162,DeltaSmelt,Jan-23,FCCL,11/28/23,f16,1/9/24,7,FC,12/21/23,19,natural,NA,NA,5.02,86,female,,,,,,no,NA
163,DeltaSmelt,Jan-23,FCCL,11/28/23,f16,1/10/24,9,VT,12/21/23,20,natural,0018,no,2.85,77,female,,,,,,no,NA
164,DeltaSmelt,Jan-23,FCCL,11/28/23,f16,1/10/24,8,LT,12/21/23,20,natural,031D,no,3.33,81,male,,,,,,no,NA
165,DeltaSmelt,Jan-23,FCCL,11/28/23,f16,1/10/24,2,LT,12/22/23,19,natural,076F,no,1.77,71,female,,,,,,no,NA
166,DeltaSmelt,Jan-23,FCCL,11/28/23,f16,1/10/24,3,VT,12/22/23,19,natural,SHED,yes,1.66,71,male,,,,,,no,NA
167,DeltaSmelt,Jan-23,FCCL,11/28/23,f16,1/11/24,9,VT,12/21/23,21,natural,0140,no,2.43,75,male,,,,,,no,NA
168,DeltaSmelt,Jan-23,FCCL,11/28/23,f16,1/11/24,2,LT,12/22/23,20,natural,0534,no,3.03,81,female,,,,,,no,NA
169,DeltaSmelt,Jan-23,FCCL,11/28/23,f16,1/11/24,1,FC,12/22/23,20,natural,NA,NA,4.53,90,female,,,,,,no,NA
170,DeltaSmelt,Jan-23,FCCL,11/28/23,f16,1/11/24,7,FC,12/21/23,21,natural,NA,NA,2.73,82,male,,,,,,no,NA
171,DeltaSmelt,Jan-23,FCCL,11/28/23,f16,1/11/24,9,VT,12/21/23,21,natural,SHED,yes,2.52,75,female,,,,,,no,NA
